DrugBank ID,CAS Number,Drug Groups,InChIKey,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB04761,,experimental,NHPBWKYFMTXWAA-UHFFFAOYSA-N,O=C(NCC1=CC=CN=C1)C1=CC(=NC=N1)C(=O)NCC1=CN=CC=C1,C18H16N6O2,,,5289111,46507115,593538,CHEMBL468900,PB5,4451140,16592
DB04762,,experimental,JMRKOGDJNHPMHS-SNVBAGLBSA-N,CC1=NC=C(COP(O)(O)=O)C(CN[C@H](CCC(O)=O)C(O)=O)=C1O,C13H19N2O9P,,,4369489,46506563,,,PDG,3572033,
DB04763,,experimental,UXBCHTZINZNVRG-UHFFFAOYSA-N,CC1=CC(C)=[N+](CCC2=CC=C(C=C2)S(N)(=O)=O)C(C)=C1,C16H21N2O2S,,,5289159,46504996,,CHEMBL1184499,PIU,4451176,11641
DB04764,,experimental,CCLHROFBSWWOQO-UHFFFAOYSA-N,NCC1=CC=CC(=C1)C1CCN(CC1)C(=O)C1=CC(CCC2=CC=CC=C2)=CN=C1,C26H29N3O,,,657077,46506605,,,PM2,571285,
DB04765,,experimental,CNIVMJHNGQZEAY-AWEZNQCLSA-N,CC1=NC=C(COP(O)(O)=O)C(CN[C@@](C)(CCC(O)=O)C(O)=O)=C1O,C14H21N2O9P,,,4369488,46504740,,,PMG,3572032,
DB04767,,experimental,AIIJKVORRBMJHS-RRQGHBQHSA-N,CCCS(=O)(=O)N[C@H]([C@H](C)O)C(=O)N[C@@H](CCSC)C(=O)NCC1=CC=C(C=C1)C(N)=N,C20H33N5O5S2,,,5289214,46505133,,,PSM,4451220,
DB04768,,experimental,ZHKSTKOYQKNDSJ-UHFFFAOYSA-O,CC1=NC=C(C[N+]2=CC=CC(CCO[P@](O)(=O)OP(O)(O)=O)=C2C)C(N)=N1,C14H21N4O7P2,,,5327150,46507393,45395,,PYI,4484392,
DB04769,,experimental,SQWZFLMPDUSYGV-POHAHGRESA-N,O=C1NC(=O)\C(S1)=C\C1=CC2=C(C=C1)N=CC=N2,C12H7N3O2S,,,5289247,46508826,,CHEMBL568150,QYT,4451248,
DB04770,,experimental,HGADNQLEUZSUEJ-OAHLLOKOSA-N,[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(OCC2=CC=CC=C2)=N1,C19H25N5O2,,,4369502,46508756,,,R6C,3572044,10910
DB04771,,experimental,FIZYZWLGMGGGBJ-OALUTQOASA-N,CC(C)C[C@H](NC(=O)C1=CC=C(C=C1)[N+]([O-])=O)C(=O)N1CCC[C@H]1C(=O)NCCCCN=C(N)N,C23H35N7O5,,,5494439,46506641,,,RA4,4591887,
DB04772,,experimental,DSVCYWOHJLRGMK-PMACEKPBSA-N,CC(C)C[C@H](NS(=O)(=O)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)NCCCCN=C(N)N,C23H38N6O4S,,,5494440,46507293,,,RA8,4591888,
DB04773,,experimental,WGAHBMKAEWUQKL-OPRDCNLKSA-N,[H][C@](C)(O)CC(=O)O[C@]([H])(C)CC(=O)O[C@]([H])(C)CC(=O)OC,C13H22O7,,,49867580,46505033,,,RB3,25057658,
DB04774,,experimental,LOYDTENNTZZQJM-DIUYYEMASA-N,CO[C@H](C\C=C\N(C)C=O)[C@@H](C)C(=O)CC[C@H](C)[C@H](OC)[C@H](C)[C@H]1OC(=O)\C=C\C=C(C)\C[C@H](CC2=CC(=O)O[C@H](C2)[C@H](C)[C@H](C[C@H](OC)\C=C\[C@H](C)[C@H](C[C@@H](OC)\C=C\[C@@H]1C)OC)OC)OC,C54H87NO13,,,5289284,46505889,,,RGA,4451279,
DB04775,,experimental,QTLSHCJDXCYLJK-VRWAWWQJSA-N,[H]/C1=C([H])\C(=O)O[C@]([H])([C@@]([H])(C)[C@@]([H])(OC)[C@@]([H])(C)CCC(=O)[C@]([H])(C)[C@@]([H])(CCC(O)=O)OC)[C@@]([H])(C)\C([H])=C([H])\[C@@]([H])(C[C@]([H])(OC)[C@@]([H])(C)\C([H])=C([H])\[C@]([H])(C[C@]([H])(OC)[C@@]([H])(C)[C@@]2([H])CC(C[C@@]([H])(C\C(C)=C\1/[H])OC)=CC(=O)O2)OC)OC,C52H84O14,,,52946592,46506095,,,RGC,26354100,
DB04776,,experimental,YPYWONAECUVKHY-MRXNPFEDSA-N,[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(=N1)N(C)CC1=CC=CC=C1,C20H28N6O,,,5289296,46506238,,CHEMBL1235702,RMC,4451290,10909
DB04777,,experimental,YKIUTLHCSNCTDZ-QMMMGPOBSA-N,[O-][N+](=O)C1=CC=C(C=C1)[C@@H]1CO1,C8H7NO3,,,1237170,46507469,,,RNO,1039557,
DB04778,,experimental,LPSXGZAUAOMRNU-FZKQIMNGSA-N,C[C@@H](N[C@@H](NCC(O)O)NC1=CC=C(CN)C=C1)C1=CC=CC=C1,C18H26N4O2,,,21158881,46508272,45412,,SC5,20119232,
DB04779,,experimental,VZFUNHITNWTQFU-KHPPLWFESA-N,CCS\C(CC1=CC=CC=C1)=N/OS(O)(=O)=O,C10H13NO4S2,,,9600421,46504506,,,SEH,7874560,
